OMGHAI!
-------- day 0 --------
name, sellIn, quality
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 2, 44
Backstage passes for Re:factor, -3, 0
Backstage passes for HAXX, -8, 0

-------- day 14 --------
name, sellIn, quality
Ring of Cleansening Code, -4, 2
Good Wine, -12, 26
Elixir of the SOLID, -9, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 1, 47
Backstage passes for Re:factor, -4, 0
Backstage passes for HAXX, -9, 0

-------- day 15 --------
name, sellIn, quality
Ring of Cleansening Code, -5, 0
Good Wine, -13, 28
Elixir of the SOLID, -10, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, 0, 50
Backstage passes for Re:factor, -5, 0
Backstage passes for HAXX, -10, 0

-------- day 16 --------
name, sellIn, quality
Ring of Cleansening Code, -6, 0
Good Wine, -14, 30
Elixir of the SOLID, -11, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -1, 0
Backstage passes for Re:factor, -6, 0
Backstage passes for HAXX, -11, 0

-------- day 17 --------
name, sellIn, quality
Ring of Cleansening Code, -7, 0
Good Wine, -15, 32
Elixir of the SOLID, -12, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -2, 0
Backstage passes for Re:factor, -7, 0
Backstage passes for HAXX, -12, 0

-------- day 18 --------
name, sellIn, quality
Ring of Cleansening Code, -8, 0
Good Wine, -16, 34
Elixir of the SOLID, -13, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -3, 0
Backstage passes for Re:factor, -8, 0
Backstage passes for HAXX, -13, 0

-------- day 19 --------
name, sellIn, quality
Ring of Cleansening Code, -9, 0
Good Wine, -17, 36
Elixir of the SOLID, -14, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -4, 0
Backstage passes for Re:factor, -9, 0
Backstage passes for HAXX, -14, 0

-------- day 20 --------
name, sellIn, quality
Ring of Cleansening Code, -10, 0
Good Wine, -18, 38
Elixir of the SOLID, -15, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -5, 0
Backstage passes for Re:factor, -10, 0
Backstage passes for HAXX, -15, 0

-------- day 21 --------
name, sellIn, quality
Ring of Cleansening Code, -11, 0
Good Wine, -19, 40
Elixir of the SOLID, -16, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -6, 0
Backstage passes for Re:factor, -11, 0
Backstage passes for HAXX, -16, 0

-------- day 22 --------
name, sellIn, quality
Ring of Cleansening Code, -12, 0
Good Wine, -20, 42
Elixir of the SOLID, -17, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -7, 0
Backstage passes for Re:factor, -12, 0
Backstage passes for HAXX, -17, 0

-------- day 23 --------
name, sellIn, quality
Ring of Cleansening Code, -13, 0
Good Wine, -21, 44
Elixir of the SOLID, -18, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -8, 0
Backstage passes for Re:factor, -13, 0
Backstage passes for HAXX, -18, 0

-------- day 24 --------
name, sellIn, quality
Ring of Cleansening Code, -14, 0
Good Wine, -22, 46
Elixir of the SOLID, -19, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -9, 0
Backstage passes for Re:factor, -14, 0
Backstage passes for HAXX, -19, 0

-------- day 25 --------
name, sellIn, quality
Ring of Cleansening Code, -15, 0
Good Wine, -23, 48
Elixir of the SOLID, -20, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -10, 0
Backstage passes for Re:factor, -15, 0
Backstage passes for HAXX, -20, 0

-------- day 26 --------
name, sellIn, quality
Ring of Cleansening Code, -16, 0
Good Wine, -24, 50
Elixir of the SOLID, -21, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -11, 0
Backstage passes for Re:factor, -16, 0
Backstage passes for HAXX, -21, 0

-------- day 27 --------
name, sellIn, quality
Ring of Cleansening Code, -17, 0
Good Wine, -25, 50
Elixir of the SOLID, -22, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -12, 0
Backstage passes for Re:factor, -17, 0
Backstage passes for HAXX, -22, 0

-------- day 28 --------
name, sellIn, quality
Ring of Cleansening Code, -18, 0
Good Wine, -26, 50
Elixir of the SOLID, -23, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -13, 0
Backstage passes for Re:factor, -18, 0
Backstage passes for HAXX, -23, 0

-------- day 29 --------
name, sellIn, quality
Ring of Cleansening Code, -19, 0
Good Wine, -27, 50
Elixir of the SOLID, -24, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -14, 0
Backstage passes for Re:factor, -19, 0
Backstage passes for HAXX, -24, 0

-------- day 30 --------
name, sellIn, quality
Ring of Cleansening Code, -20, 0
Good Wine, -28, 50
Elixir of the SOLID, -25, 0
B-DAWG Keychain, 0, 80
B-DAWG Keychain, -1, 80
Backstage passes for Re:factor, -15, 0
Backstage passes for Re:factor, -20, 0
Backstage passes for HAXX, -25, 0

